Year;Month;departement;prix_m2_vente;date
2023;10;01;3208.5559927140253;2023-10-01
2023;10;02;1491.6366578947368;2023-10-01
2023;10;03;1462.0717846153846;2023-10-01
2023;10;04;2606.501943319838;2023-10-01
2023;10;05;3133.53992481203;2023-10-01
2023;10;06;6353.104996662217;2023-10-01
2023;10;07;2324.6424691358025;2023-10-01
2023;10;08;1441.01344;2023-10-01
2023;10;09;1564.1907462686568;2023-10-01
2023;10;10;1797.1444147157192;2023-10-01
2023;10;11;2245.821973244147;2023-10-01
2023;10;12;1655.0434551495018;2023-10-01
2023;10;13;4385.347208350389;2023-10-01
2023;10;14;3352.1762144821264;2023-10-01
